"Genes","ENSMBLID","chr","start","stop"
"RP11-107E21.1","ENSG00000250458.2","chr4",124783015,124783170
"DOK7","ENSG00000175920.11","chr4",3465033,3503200
"SLC25A4","ENSG00000151729.6","chr4",186064395,186071536
"KLF17P2","ENSG00000251317.1","chr4",14127963,14128288
"AC097467.2","ENSG00000250910.3","chr4",156197841,156302498
"RP11-496D24.2","ENSG00000261121.1","chr4",24661479,24673191
"RPL7AP26","ENSG00000214988.4","chr4",83411976,83412788
"SNORA31","ENSG00000252136.1","chr4",106027144,106027251
"RN7SL275P","ENSG00000263940.1","chr4",111038892,111039203
"RNU6-887P","ENSG00000222592.1","chr4",39400769,39400868
"RNU7-74P","ENSG00000239010.1","chr4",40379469,40379530
"RP11-489M13.3","ENSG00000250940.1","chr4",4088365,4088541
"SNORA51","ENSG00000201516.1","chr4",177019314,177019436
"RTEL1P1","ENSG00000251441.2","chr4",113277291,113280975
"RP11-177B4.1","ENSG00000248375.1","chr4",53586248,53586998
"RP11-136I13.1","ENSG00000250613.1","chr4",10412620,10413268
"ING2","ENSG00000168556.5","chr4",184426147,184432249
"AC006499.6","ENSG00000248777.1","chr4",10201447,10202296
"MRFAP1L1","ENSG00000178988.10","chr4",6709428,6711607
"FTLP10","ENSG00000250426.2","chr4",69048010,69078188
"NAP1L5","ENSG00000177432.6","chr4",89617066,89619386
"CXCL5","ENSG00000163735.6","chr4",74861359,74864496
"RP11-140M13.1","ENSG00000251416.1","chr4",178607827,178612222
"RP11-463J17.1","ENSG00000250666.1","chr4",190802670,190806023
"ANKRD50","ENSG00000151458.7","chr4",125585207,125633887
"DGKQ","ENSG00000145214.9","chr4",952675,980683
"YTHDC1","ENSG00000083896.8","chr4",69176105,69215807
"RP11-366M4.1","ENSG00000240674.1","chr4",165933518,165933997
"RNU6-573P","ENSG00000206665.1","chr4",35497520,35497625
"RP11-384K6.6","ENSG00000260404.2","chr4",119512928,119554884
"RP11-618I10.4","ENSG00000251691.2","chr4",70172187,70172891
"RP11-1396O13.15","ENSG00000232773.2","chr4",9424039,9431428
"SNORD74","ENSG00000200999.1","chr4",26703931,26704010
"RNU6-1336P","ENSG00000206613.1","chr4",169607759,169607867
"RP11-192C21.3","ENSG00000251228.1","chr4",135865430,135865678
"RP11-395F4.1","ENSG00000248939.1","chr4",43135884,43236973
"IGFBP7-AS1","ENSG00000245067.2","chr4",57975928,58071676
"RP11-707A18.1","ENSG00000250125.1","chr4",65779999,65870218
"LINC00616","ENSG00000248307.1","chr4",138948576,139051863
"SLBP","ENSG00000163950.8","chr4",1694527,1714282
"RN7SL552P","ENSG00000239466.2","chr4",85608881,85609171
"RNF175","ENSG00000145428.10","chr4",154631277,154681387
"PSAPL1","ENSG00000178597.4","chr4",7432022,7436700
"RP11-688H10.1","ENSG00000249278.1","chr4",77430437,77430872
"RP11-727M10.1","ENSG00000250532.1","chr4",75284634,75306174
"RP11-489G11.3","ENSG00000261646.1","chr4",174388984,174391192
"RN7SL152P","ENSG00000242102.2","chr4",141499079,141499374
"SNORA63","ENSG00000202449.1","chr4",14692334,14692456
"MARK2P4","ENSG00000250372.1","chr4",176933189,176935568
"RP11-344G13.2","ENSG00000249525.1","chr4",172034940,172035732
"RPL7L1P13","ENSG00000251464.2","chr4",111320929,111321667
"RP11-373J21.1","ENSG00000250877.1","chr4",73188745,73196468
"RP11-75N20.2","ENSG00000249257.1","chr4",109694769,109695176
"RNA5SP152","ENSG00000202054.1","chr4",8394742,8394851
"RP11-1398P2.1","ENSG00000244459.2","chr4",1575789,1581980
"TDO2","ENSG00000151790.4","chr4",156775890,156841558
"LINC00955","ENSG00000216560.4","chr4",3578596,3592438
"PLRG1","ENSG00000171566.7","chr4",155456158,155471587
"RN7SKP105","ENSG00000253001.1","chr4",164749952,164750265
"NOP14-AS1","ENSG00000249673.2","chr4",2936626,2963465
"PDE6B","ENSG00000133256.8","chr4",619373,664571
"TPI1P4","ENSG00000225455.3","chr4",49018699,49019171
"RP11-44F21.4","ENSG00000250315.2","chr4",76026687,76027153
"RP11-170N16.2","ENSG00000240775.1","chr4",123761498,123761845
"DUX4L8","ENSG00000250537.4","chr4",190988796,190990406
"RP11-227F19.5","ENSG00000249216.1","chr4",41690875,41694814
"RP11-386B13.3","ENSG00000250754.1","chr4",185973050,186028402
"RNU6-1282P","ENSG00000252544.1","chr4",152221670,152221765
"FAM218BP","ENSG00000221891.2","chr4",165850646,165851103
"RP11-84A1.3","ENSG00000248692.1","chr4",62937470,63031272
"KRT8P46","ENSG00000248971.2","chr4",103649903,103651328
"TMPRSS11D","ENSG00000153802.7","chr4",68686594,68749750
"UCHL1-AS1","ENSG00000251173.1","chr4",41222091,41258744
"MTND5P13","ENSG00000250169.1","chr4",65475172,65476250
"Y_RNA","ENSG00000202014.1","chr4",48155451,48155552
"AC104687.1","ENSG00000264124.1","chr4",77775117,77775213
"CTB-51E13.1","ENSG00000250322.2","chr4",124181104,124181273
"FAM198B","ENSG00000164125.11","chr4",159045626,159094470
"RP11-747H12.1","ENSG00000197468.4","chr4",8951356,8952285
"RP11-689P11.3","ENSG00000251186.1","chr4",8455137,8456669
"MRPS18C","ENSG00000163319.6","chr4",84377085,84390888
"RP11-798M19.3","ENSG00000248774.1","chr4",174243357,174250845
"FRYL","ENSG00000075539.9","chr4",48499378,48782339
"FAT1","ENSG00000083857.9","chr4",187508937,187647876
"RP11-364P2.2","ENSG00000213480.3","chr4",122290588,122291500
"RP11-412P11.1","ENSG00000248837.1","chr4",22999174,23058485
"RP11-777N19.1","ENSG00000249519.1","chr4",111715559,111718500
"RP11-50D9.1","ENSG00000244021.3","chr4",128733873,128734355
"snoU13","ENSG00000238753.1","chr4",54989267,54989371
"RP11-217C7.1","ENSG00000249675.1","chr4",167309853,167447271
"RP11-340A13.3","ENSG00000250375.2","chr4",59912738,59940974
"RP11-719L21.1","ENSG00000250547.1","chr4",164186727,164187735
"RNU7-158P","ENSG00000252702.1","chr4",184090501,184090570
"RNU6-158P","ENSG00000252913.1","chr4",48934772,48934871
"C4orf19","ENSG00000154274.10","chr4",37455563,37625117
"H2AFZ","ENSG00000164032.7","chr4",100869243,100871545
"SNORD73","ENSG00000201264.1","chr4",152023209,152023280
"RP11-26P13.2","ENSG00000249304.1","chr4",114864412,114865476
"MIR548I2","ENSG00000221275.1","chr4",9557789,9557937
"SMIM20","ENSG00000250317.4","chr4",25863452,25931435
"AC110298.1","ENSG00000221219.1","chr4",54969747,54969823
"C4orf3","ENSG00000164096.10","chr4",120218207,120225600
"BOD1L1","ENSG00000038219.8","chr4",13570362,13629347
"DNAJB14","ENSG00000164031.12","chr4",100817405,100867883
"AF250324.1","ENSG00000266024.1","chr4",190739823,190739892
"AC099339.1","ENSG00000252375.1","chr4",153822118,153822231
"RP11-102N12.3","ENSG00000273472.1","chr4",141677682,141679075
"RP11-423J7.1","ENSG00000250704.1","chr4",150877360,150879724
"RP11-738E22.3","ENSG00000269949.1","chr4",57827093,57827539
"TACR3","ENSG00000169836.4","chr4",104507188,104640973
"RP11-713M6.2","ENSG00000251081.1","chr4",108179857,108223027
"AC004066.2","ENSG00000216425.4","chr4",106447753,106448554
"FHDC1","ENSG00000137460.4","chr4",153857504,153900848
"HGFAC","ENSG00000109758.4","chr4",3443614,3451211
"GAPDHP56","ENSG00000249018.2","chr4",131424512,131425499
"RN7SL728P","ENSG00000241144.2","chr4",103269551,103269848
"RN7SKP113","ENSG00000200761.1","chr4",4922497,4922791
"CENPE","ENSG00000138778.7","chr4",104026963,104119566
"RP11-380D23.1","ENSG00000250511.1","chr4",111433644,111440661
"RP11-145G20.1","ENSG00000248510.2","chr4",97231852,97740015
"RP11-302F12.4","ENSG00000249277.1","chr4",25687824,25688080
"RNU6-1195P","ENSG00000207198.1","chr4",41115959,41116062
"snoU13","ENSG00000238695.1","chr4",142218928,142219032
"AC093824.1","ENSG00000265619.1","chr4",186043476,186043576
"RNU4ATAC9P","ENSG00000252955.1","chr4",73830895,73831020
"CFI","ENSG00000205403.8","chr4",110661852,110723335
"C4orf40","ENSG00000187533.9","chr4",70999333,71042516
"RP11-302F12.3","ENSG00000248545.1","chr4",25610333,25621087
"MIR4798","ENSG00000264658.1","chr4",7312177,7312251
"TUBB7P","ENSG00000251297.1","chr4",190903678,190906026
"RNU6-1325P","ENSG00000201775.1","chr4",60699781,60699885
"TARS2P1","ENSG00000248104.1","chr4",136486272,136488312
"RP11-718M20.5","ENSG00000249522.1","chr4",3912010,3912331
"STATH","ENSG00000126549.5","chr4",70861647,70868287
"UTP3","ENSG00000132467.2","chr4",71554196,71556267
"SEL1L3","ENSG00000091490.6","chr4",25749055,25865382
"CTBP1-AS2","ENSG00000196810.4","chr4",1243088,1282079
"OR7E35P","ENSG00000250425.1","chr4",9756522,9757402
"RN7SKP188","ENSG00000222721.1","chr4",168584137,168584453
"ABCE1","ENSG00000164163.6","chr4",146019084,146050331
"RP11-124A7.1","ENSG00000239627.3","chr4",41391132,41391610
"AC097452.1","ENSG00000266669.1","chr4",12014971,12015065
"RP11-312A15.3","ENSG00000250475.1","chr4",158889564,158890767
"CCDC109B","ENSG00000005059.11","chr4",110481361,110609874
"DEFB131","ENSG00000186146.1","chr4",9446260,9452240
"SPOCK3","ENSG00000196104.6","chr4",167654535,168155947
"GPR125","ENSG00000152990.9","chr4",22346694,22517677
"MFSD8","ENSG00000164073.5","chr4",128838960,128887150
"RP11-766F14.1","ENSG00000248676.1","chr4",100515956,100547070
"RP11-89B16.1","ENSG00000249706.1","chr4",54766038,54783002
"RP11-174F8.1","ENSG00000248521.1","chr4",151343797,151344794
"USP17L18","ENSG00000250844.1","chr4",9250356,9251948
"RP11-610J23.1","ENSG00000249623.1","chr4",169569047,169569738
"RP11-489M13.1","ENSG00000243894.1","chr4",4078438,4079218
"RP11-68D16.1","ENSG00000251373.1","chr4",29408722,29409634
"TAPT1-AS1","ENSG00000263327.2","chr4",16228286,16321763
"RP11-127B20.3","ENSG00000272677.1","chr4",83295454,83305180
"RP11-362I1.1","ENSG00000248744.1","chr4",45011557,45053669
"RP11-729M20.1","ENSG00000251170.1","chr4",105151537,105332192
"RP11-1258F18.1","ENSG00000251460.1","chr4",8068255,8069451
"PET112","ENSG00000059691.7","chr4",152591656,152682175
"RP11-9D8.1","ENSG00000239532.1","chr4",37822983,37823460
"CISD2","ENSG00000145354.5","chr4",103790135,103810399
"RP11-318I4.2","ENSG00000251005.1","chr4",127027294,127028078
"ADH7","ENSG00000196344.7","chr4",100333418,100356894
"TECRP2","ENSG00000248565.2","chr4",125384018,125384945
"RP11-103J17.1","ENSG00000247810.2","chr4",37080199,37127046
"RP11-552M14.1","ENSG00000249645.1","chr4",23107125,23125110
"RP11-171N4.1","ENSG00000251511.1","chr4",157507131,157511191
"AC108867.1","ENSG00000207849.2","chr4",136292745,136292836
"OCIAD1","ENSG00000109180.10","chr4",48807229,48863834
"RP11-586D19.2","ENSG00000251408.1","chr4",6204055,6208376
"MYL5","ENSG00000215375.2","chr4",667369,675822
"DCAF16","ENSG00000163257.6","chr4",17802278,17812381
"RP11-468N14.10","ENSG00000251498.1","chr4",69838717,69841711
"RP11-402J6.1","ENSG00000249509.1","chr4",113436541,113468037
"RP11-692D12.1","ENSG00000250220.1","chr4",74124926,74183670
"MIR577","ENSG00000207931.1","chr4",115577915,115578010
"GK3P","ENSG00000229894.2","chr4",166198944,166201175
"OR7E94P","ENSG00000249646.2","chr4",80508456,80509284
"NEIL3","ENSG00000109674.3","chr4",178230990,178284097
"DCHS2","ENSG00000197410.8","chr4",155153399,155412930
"LSM6","ENSG00000164167.5","chr4",147096837,147121152
"RP11-360F5.3","ENSG00000249685.1","chr4",39135533,39137228
"AC092535.3","ENSG00000227189.2","chr4",1145160,1147489
"RP11-600L4.1","ENSG00000251642.1","chr4",38288615,38289112
"RP11-642E20.3","ENSG00000249531.2","chr4",69166043,69168177
"RP11-292D4.2","ENSG00000248764.1","chr4",147855153,147866623
"CD38","ENSG00000004468.8","chr4",15779898,15854853
"RPS21P4","ENSG00000242358.1","chr4",16257931,16258178
"RP11-451F20.1","ENSG00000250292.1","chr4",184301498,184302858
"SRP72","ENSG00000174780.11","chr4",57333081,57369839
"RP11-168E17.1","ENSG00000251210.1","chr4",12225075,12252910
"snoU13","ENSG00000238318.1","chr4",71677963,71678063
"snoU13","ENSG00000239068.1","chr4",53376179,53376282
"RP11-322J23.1","ENSG00000250968.1","chr4",171663620,171664869
"RP11-576N17.2","ENSG00000250677.1","chr4",84158456,84158597
"RP11-89B16.2","ENSG00000250815.1","chr4",54793666,54794305
"RP11-521E5.1","ENSG00000251326.1","chr4",131297384,131307526
"LIMCH1","ENSG00000064042.13","chr4",41361624,41702061
"RP11-756P10.2","ENSG00000250626.2","chr4",189698833,189717787
"IL21-AS1","ENSG00000227145.1","chr4",123540138,123610311
"AC108865.1","ENSG00000252382.1","chr4",187778529,187778610
"PTGES3P3","ENSG00000229204.2","chr4",170712371,170712853
"RP11-237D3.1","ENSG00000251490.1","chr4",188437307,188438362
"KRT18P21","ENSG00000250363.1","chr4",116841863,116843134
"RP11-340B18.1","ENSG00000249500.1","chr4",166605791,166683930
"NOA1","ENSG00000084092.6","chr4",57829536,57844989
"ANKRD20A17P","ENSG00000251056.1","chr4",49504162,49508039
"RN7SKP215","ENSG00000251827.1","chr4",47813481,47813652
"TMEM165","ENSG00000134851.8","chr4",56262124,56319564
"RAP1GDS1","ENSG00000138698.10","chr4",99182535,99365012
"RN7SKP48","ENSG00000201901.1","chr4",86021649,86021976
"ANP32C","ENSG00000248546.3","chr4",165118159,165118863
"PABPC4L","ENSG00000254535.2","chr4",135117488,135122903
"RP11-1338A24.1","ENSG00000250915.1","chr4",8747123,8747759
"MLF1IP","ENSG00000151725.7","chr4",185615772,185655287
"TOMM22P4","ENSG00000248396.1","chr4",163442834,163443193
"RP11-281P23.2","ENSG00000249631.1","chr4",11627338,11815582
"RP11-11N5.3","ENSG00000272218.1","chr4",187813706,187814137
"RP11-1396O13.14","ENSG00000188438.4","chr4",9400930,9405291
"ATP5I","ENSG00000169020.5","chr4",666225,668127
"RP11-257A22.1","ENSG00000251055.2","chr4",63994029,64009599
"METTL14","ENSG00000145388.10","chr4",119606523,119636588
"GALNTL6","ENSG00000174473.11","chr4",172733405,173962710
"Y_RNA","ENSG00000207480.1","chr4",89251328,89251430
"WDFY3-AS2","ENSG00000180769.4","chr4",85887538,85932430
"SOD3","ENSG00000109610.5","chr4",24791534,24802464
"Y_RNA","ENSG00000222613.1","chr4",141700193,141700295
"RPL9P16","ENSG00000214676.4","chr4",169676967,169677533
"DDX60L","ENSG00000181381.9","chr4",169277886,169458937
"EEF1A1P21","ENSG00000249542.2","chr4",29750379,29751722
"RP11-539G18.1","ENSG00000249019.2","chr4",39715462,39716071
"RP11-315A17.1","ENSG00000251434.1","chr4",31351906,31353347
"LDHAL6EP","ENSG00000270098.1","chr4",72300122,72303641
"RP11-162G9.1","ENSG00000251504.1","chr4",178650792,178829090
"ZNF969P","ENSG00000251046.2","chr4",111337054,111339660
"ANKRD17","ENSG00000132466.13","chr4",73939093,74124515
"RNU6-531P","ENSG00000252503.1","chr4",139976629,139976732
"MTND6P16","ENSG00000249893.1","chr4",65474623,65475142
"RP13-1016M1.2","ENSG00000272783.1","chr4",1552011,1552299
"RNU6-582P","ENSG00000199859.1","chr4",158122714,158122820
"AC093874.1","ENSG00000266254.1","chr4",167148917,167148984
"RP11-11N6.1","ENSG00000251401.2","chr4",91604147,91604274
"AC097533.1","ENSG00000237868.1","chr4",122998995,122999473
"PRDX4P1","ENSG00000248987.2","chr4",44946032,44946978
"GTF2F2P1","ENSG00000251254.1","chr4",148427243,148427917
"FAM86MP","ENSG00000186234.7","chr4",9694119,9704578
"RP11-366M4.6","ENSG00000248645.1","chr4",165859474,165861142
"AC006499.4","ENSG00000250074.1","chr4",10269519,10269855
"USP17L19","ENSG00000248920.1","chr4",9255104,9256696
"LINC01088","ENSG00000249307.1","chr4",79892902,80229952
"GABRA2","ENSG00000151834.11","chr4",46250444,46477247
"RP11-713C19.1","ENSG00000241011.1","chr4",189027712,189028068
"JAKMIP1","ENSG00000152969.12","chr4",6027926,6202318
"CPE","ENSG00000109472.9","chr4",166282346,166419472
"MAP9","ENSG00000164114.14","chr4",156263810,156298122
"RP11-44F21.2","ENSG00000248165.1","chr4",75919087,75960034
"SNX25","ENSG00000109762.11","chr4",186125391,186291339
"RP11-440I14.2","ENSG00000250596.1","chr4",175444852,175461495
"CASP3","ENSG00000164305.13","chr4",185548850,185570663
"RP11-10L12.4","ENSG00000246560.2","chr4",103749212,103765232
"CLCN3","ENSG00000109572.9","chr4",170533784,170644824
"Y_RNA","ENSG00000201297.1","chr4",126283974,126284084
"GUSBP5","ENSG00000236296.3","chr4",144480625,144570458
"NUDT19P5","ENSG00000251073.1","chr4",159103977,159104545
"SH3RF1","ENSG00000154447.10","chr4",170015407,170192256
"MIR218-1","ENSG00000207732.1","chr4",20529898,20530007
"MIR548G","ENSG00000221369.1","chr4",148265781,148265869
"RNU6-746P","ENSG00000206839.1","chr4",56160657,56160765
"HIGD1AP14","ENSG00000248785.1","chr4",110594999,110595280
"KDR","ENSG00000128052.8","chr4",55944644,55991756
"RP11-425I13.3","ENSG00000196951.6","chr4",141204878,141294535
"RP11-461L13.3","ENSG00000270750.1","chr4",153241696,153242196
"AC006552.1","ENSG00000250456.1","chr4",55469378,55473298
"AC105914.1","ENSG00000265493.1","chr4",175848458,175848542
"OR7E43P","ENSG00000249844.1","chr4",4176046,4176965
"IGBP1P5","ENSG00000250858.1","chr4",27586767,27587766
"MIR578","ENSG00000207559.1","chr4",166307394,166307489
"RN7SL589P","ENSG00000239247.2","chr4",2317926,2318233
"AC226119.5","ENSG00000253917.3","chr4",3916910,3957148
"RP11-685F15.1","ENSG00000251049.2","chr4",58462106,58472038
"RNA5SP166","ENSG00000201846.1","chr4",149479099,149479200
"FAM86EP","ENSG00000251669.1","chr4",3943487,3957146
"USP17L21","ENSG00000249811.1","chr4",9264598,9266190
"CEP135","ENSG00000174799.6","chr4",56815037,56899529
"TMPRSS11BNL","ENSG00000226894.3","chr4",69054242,69083798
"PARM1","ENSG00000169116.7","chr4",75858305,75975325
"DUTP7","ENSG00000250473.1","chr4",52731216,52731701
"CXCL1","ENSG00000163739.4","chr4",74735110,74736959
"RP11-231C18.2","ENSG00000248518.1","chr4",55242169,55242919
"TMPRSS11GP","ENSG00000229009.3","chr4",68857402,68881486
"AC093887.1","ENSG00000264323.1","chr4",147560413,147560495
"AC079080.1","ENSG00000221523.1","chr4",185188510,185188584
"SULT1E1","ENSG00000109193.6","chr4",70676498,70725870
"RP11-63H19.1","ENSG00000251430.1","chr4",65472136,65472331
"RP11-35D5.1","ENSG00000215127.5","chr4",68926312,68929015
"RNU6ATAC5P","ENSG00000210839.1","chr4",73892465,73892590
"PCDH7","ENSG00000169851.11","chr4",30722037,31148422
"KIAA0922","ENSG00000121210.11","chr4",154387498,154557863
"RP13-884E18.4","ENSG00000250777.1","chr4",138611631,138656131
"RP11-525J21.1","ENSG00000249892.1","chr4",60633534,60657832
"RP11-10L12.1","ENSG00000224207.2","chr4",103655515,103655772
"TRIM60","ENSG00000176979.8","chr4",165953105,165962896
"RP11-365H22.2","ENSG00000272576.1","chr4",52784938,52785547
"RP11-166J5.1","ENSG00000249259.2","chr4",117016266,117018222
"COX7A2P2","ENSG00000236764.4","chr4",97823952,97824201
"HAUS3","ENSG00000214367.3","chr4",2229191,2243891
"TLR6","ENSG00000174130.8","chr4",38825336,38858438
"TMPRSS11CP","ENSG00000232398.1","chr4",68632198,68639572
"SNORD112","ENSG00000252300.1","chr4",141196195,141196266
"SLC10A4","ENSG00000145248.6","chr4",48485360,48491213
"AC110771.1","ENSG00000269302.1","chr4",187111913,187112626
"PF4","ENSG00000163737.3","chr4",74846794,74847841
"ANXA3","ENSG00000138772.8","chr4",79472673,79531597
"MIR1255A","ENSG00000221265.1","chr4",102251459,102251571
"KCNIP4","ENSG00000185774.10","chr4",20730239,21950422
"CORIN","ENSG00000145244.7","chr4",47596015,47840123
"RP11-404J23.1","ENSG00000250993.1","chr4",180310288,180386459
"RP11-448G15.3","ENSG00000261490.1","chr4",10069713,10074643
"MIR3945","ENSG00000266698.1","chr4",185772167,185772264
"NPY5R","ENSG00000164129.7","chr4",164265091,164273086
"RP11-556I14.1","ENSG00000248373.1","chr4",105828514,106041157
"TRIML1","ENSG00000184108.3","chr4",189060573,189068897
"RP13-644M16.1","ENSG00000251284.2","chr4",69990992,69992169
"RP11-425I13.1","ENSG00000241923.2","chr4",141287394,141288015
"RP11-489M13.2","ENSG00000248669.1","chr4",4119652,4120011
"USP17L9P","ENSG00000251694.1","chr4",9360109,9361701
"RP11-158O16.1","ENSG00000244669.1","chr4",65632848,65633615
"RP11-654F3.1","ENSG00000248739.1","chr4",171062443,171063683
"RP11-119H12.4","ENSG00000234841.3","chr4",113747463,113748763
"Y_RNA","ENSG00000206978.1","chr4",159985449,159985550
"AC108218.1","ENSG00000264496.1","chr4",25355592,25355693
"RP11-647P12.1","ENSG00000250344.1","chr4",121992584,122001631
"RP11-704M14.2","ENSG00000268803.1","chr4",70081626,70082353
"Z95704.2","ENSG00000255436.2","chr4",85621,87340
"RPL7AP28","ENSG00000184139.8","chr4",132778498,132779068
"RP11-640B6.1","ENSG00000248466.1","chr4",36066682,36067348
"RP11-427M20.1","ENSG00000251388.1","chr4",134792401,134931845
"ACOX3","ENSG00000087008.11","chr4",8368009,8442450
"RP11-707F2.2","ENSG00000251482.1","chr4",150711104,150711455
"C4orf29","ENSG00000164074.10","chr4",128886461,128960866
"snoU13","ENSG00000239116.1","chr4",184503348,184503454
"RNU6-948P","ENSG00000252183.1","chr4",122113952,122114058
"SMARCA5","ENSG00000153147.5","chr4",144434616,144478639
"RNU6-32P","ENSG00000206675.1","chr4",39299225,39299331
"RNU6-112P","ENSG00000200469.1","chr4",89196357,89196460
"RNA5SP162","ENSG00000251823.1","chr4",57197343,57197383
"RP13-577H12.2","ENSG00000250431.1","chr4",175898722,175900532
"SETP12","ENSG00000251609.2","chr4",121816649,121818238
"STMN1P2","ENSG00000251440.2","chr4",138346580,138347018
"BEND4","ENSG00000188848.11","chr4",42112955,42154895
"OR7E162P","ENSG00000234386.4","chr4",3903293,3904321
"RP11-285A15.1","ENSG00000250191.1","chr4",134495721,134496363
"NOP14","ENSG00000087269.11","chr4",2939660,2965112
"RN7SL335P","ENSG00000241037.2","chr4",123008661,123008966
"RP11-138A23.1","ENSG00000248552.1","chr4",160296251,160296474
"SLC7A11","ENSG00000151012.9","chr4",139085251,139163503
"RP11-529E10.7","ENSG00000270090.1","chr4",3546282,3550523
"RP11-319E12.2","ENSG00000251459.1","chr4",58357556,58361399
"RARRES2P4","ENSG00000250053.1","chr4",190959071,190959554
"RNU6-615P","ENSG00000251874.1","chr4",83924565,83924670
"RP11-747H12.5","ENSG00000251313.1","chr4",9032012,9032792
"RP11-401E5.2","ENSG00000251177.2","chr4",70438109,70451245
"RP11-206P5.1","ENSG00000249320.1","chr4",25474139,25475437
"PHOX2B","ENSG00000109132.5","chr4",41746099,41750987
"RP11-1E1.2","ENSG00000271676.1","chr4",78033648,78034611
"RP11-147K6.2","ENSG00000251285.2","chr4",89141721,89144989
"RP11-696N14.3","ENSG00000250300.1","chr4",100390755,100419855
"RP11-339D20.1","ENSG00000250611.1","chr4",20039183,20039595
"RP11-798L4.1","ENSG00000205682.2","chr4",62285964,62293939
"AC108142.1","ENSG00000177822.3","chr4",182795591,183066402
"RP11-618I10.2","ENSG00000250612.1","chr4",70212327,70223895
"AC004067.5","ENSG00000273447.1","chr4",110613160,110613859
"WWC2-AS2","ENSG00000251359.3","chr4",184018170,184020352
"AF213884.2","ENSG00000260651.1","chr4",103421998,103422476
"FAM13A-AS1","ENSG00000248019.2","chr4",89630940,89651254
"RP11-480G3.1","ENSG00000250393.1","chr4",10144991,10145279
"MIR572","ENSG00000207716.1","chr4",11370451,11370545
"SERF1AP1","ENSG00000250813.1","chr4",138222155,138222341
"RP11-364M6.1","ENSG00000241281.1","chr4",148347126,148347503
"RP11-61G24.1","ENSG00000250655.1","chr4",97133430,97134251
"FGFR3","ENSG00000068078.13","chr4",1795034,1810599
"WHSC1","ENSG00000109685.13","chr4",1873151,1983934
"AC112719.1","ENSG00000265931.1","chr4",77016561,77016661
"RNU6-289P","ENSG00000200963.1","chr4",112252568,112252674
"RP11-173E2.1","ENSG00000248795.1","chr4",139481858,139483095
"RP11-115L11.1","ENSG00000214846.4","chr4",15732585,15733250
"AC105252.1","ENSG00000221637.1","chr4",134482011,134482089
"DUX4","ENSG00000258389.2","chr4",191005267,191007077
"RP11-213L8.1","ENSG00000249943.1","chr4",171735490,171735699
"UBE2CP3","ENSG00000250384.1","chr4",57938849,57939298
"RP11-318I4.1","ENSG00000251649.1","chr4",126991863,126993159
"CDKL2","ENSG00000138769.6","chr4",76503215,76555900
"AC092463.1","ENSG00000265953.1","chr4",6955016,6955101
"METAP1","ENSG00000164024.7","chr4",99916771,99983964
"HNRNPA1P67","ENSG00000270665.1","chr4",73672984,73673909
"RNU2-66P","ENSG00000222582.1","chr4",155708270,155708430
"AC004069.2","ENSG00000251259.1","chr4",106058437,106061776
"snoU13","ENSG00000238541.1","chr4",57972409,57972511
"RP11-359D14.2","ENSG00000233860.1","chr4",77678113,77679627
"HTT","ENSG00000197386.6","chr4",3076408,3245676
"RP11-21G20.3","ENSG00000249041.1","chr4",155675908,155703025
"RPS7P6","ENSG00000215278.4","chr4",17429319,17429897
"snoU13","ENSG00000238536.1","chr4",17530560,17530663
"AC006445.8","ENSG00000246095.2","chr4",13547699,13549425
"MIR4802","ENSG00000263642.1","chr4",40504057,40504136
"SLC25A5P6","ENSG00000213332.4","chr4",187249870,187250755
"RP11-265O12.1","ENSG00000248516.1","chr4",4323689,4335909
"RPL34","ENSG00000109475.12","chr4",109541722,109551568
"RP11-1396O13.22","ENSG00000249443.1","chr4",9523555,9523921
"RP11-1299A16.1","ENSG00000249764.1","chr4",99634955,99635122
"SMR3A","ENSG00000109208.4","chr4",71226478,71232875
"PTTG2","ENSG00000250254.1","chr4",37962056,37962746
"AC131094.1","ENSG00000221136.1","chr4",176394153,176394259
"RNU5E-3P","ENSG00000251722.1","chr4",48576470,48576537
"RNU2-34P","ENSG00000252343.1","chr4",183469812,183469932
"AC119751.1","ENSG00000221075.1","chr4",49597627,49597709
"UNC93B4","ENSG00000250381.1","chr4",4145185,4152148
"AC118282.3","ENSG00000222437.1","chr4",49199220,49199301
"AC006427.2","ENSG00000248851.1","chr4",16309079,16309790
"RP11-153M7.3","ENSG00000250771.2","chr4",154561320,154602332
"RP11-297P16.4","ENSG00000250920.1","chr4",104472084,104480284
"HELQ","ENSG00000163312.6","chr4",84328496,84377009
"BANK1","ENSG00000153064.7","chr4",102332443,102995969
"RP13-487K5.1","ENSG00000251244.1","chr4",156436879,156438611
"RP11-292B1.2","ENSG00000250190.1","chr4",28998146,29016216
"TMEM248P1","ENSG00000249555.2","chr4",126644422,126645372
"BBS12","ENSG00000181004.5","chr4",123653857,123666098
"NUPL1P1","ENSG00000251436.2","chr4",126602332,126604823
"AC107399.2","ENSG00000224932.1","chr4",118235753,118281795
"AC093816.1","ENSG00000264927.1","chr4",122323742,122323826
"SHISA3","ENSG00000178343.4","chr4",42399856,42404504
"CCNI","ENSG00000118816.5","chr4",77968311,77997158
"DUX4L5","ENSG00000259063.2","chr4",190998673,191000532
"RP11-506A18.1","ENSG00000250356.1","chr4",75843032,75843348
"FAM92A1P2","ENSG00000230219.3","chr4",183958818,183961272
